"session";"unit_session_id";"item_id";"item_name";"answer";"created";"saved";"shown";"shown_relative";"answered";"answered_relative";"displaycount";"display_order";"hidden"
"";"30336472";"22542976";"topic";"";"2023-11-02 15:58:51";"";"";"";"";"";"";"0";""
"";"30336472";"22576743";"effect_size_1";"";"2023-11-02 15:58:51";"";"";"";"";"";"";"3";""
"";"30336472";"22576744";"effect_size_2";"";"2023-11-02 15:58:51";"";"";"";"";"";"";"4";""
"";"30336542";"22542976";"topic";"";"2023-11-02 16:03:00";"";"";"";"";"";"";"0";""
"";"30336542";"22576743";"effect_size_1";"";"2023-11-02 16:03:00";"";"";"";"";"";"";"3";""
"";"30336542";"22576744";"effect_size_2";"";"2023-11-02 16:03:00";"";"";"";"";"";"";"4";""
"";"30336616";"22542976";"topic";"";"2023-11-02 16:07:30";"";"";"";"";"";"";"0";""
"";"30336616";"22576743";"effect_size_1";"";"2023-11-02 16:07:30";"";"";"";"";"";"";"3";""
"";"30336616";"22576744";"effect_size_2";"";"2023-11-02 16:07:30";"";"";"";"";"";"";"4";""
"";"30336672";"22542976";"topic";"";"2023-11-02 16:10:02";"";"";"";"";"";"";"0";""
"";"30336672";"22576743";"effect_size_1";"";"2023-11-02 16:10:02";"";"";"";"";"";"";"3";""
"";"30336672";"22576744";"effect_size_2";"";"2023-11-02 16:10:02";"";"";"";"";"";"";"4";""
"";"30336728";"22542976";"topic";"";"2023-11-02 16:14:00";"";"";"";"";"";"";"0";""
"";"30336728";"22576743";"effect_size_1";"";"2023-11-02 16:14:00";"";"";"";"";"";"";"3";""
"";"30336728";"22576744";"effect_size_2";"";"2023-11-02 16:14:00";"";"";"";"";"";"";"4";""
"";"30336793";"22542976";"topic";"";"2023-11-02 16:18:43";"";"";"";"";"";"";"0";""
"";"30336793";"22576743";"effect_size_1";"";"2023-11-02 16:18:43";"";"";"";"";"";"";"3";""
"";"30336793";"22576744";"effect_size_2";"";"2023-11-02 16:18:43";"";"";"";"";"";"";"4";""
"";"30336977";"22542976";"topic";"";"2023-11-02 16:21:49";"";"";"";"";"";"";"0";""
"";"30336977";"22576743";"effect_size_1";"";"2023-11-02 16:21:49";"";"";"";"";"";"";"3";""
"";"30336977";"22576744";"effect_size_2";"";"2023-11-02 16:21:49";"";"";"";"";"";"";"4";""
"";"30339008";"22542976";"topic";"";"2023-11-02 16:46:56";"";"";"";"";"";"";"0";""
"";"30339008";"22576743";"effect_size_1";"";"2023-11-02 16:46:56";"";"";"";"";"";"";"3";""
"";"30339008";"22576744";"effect_size_2";"";"2023-11-02 16:46:56";"";"";"";"";"";"";"4";""
"";"30339063";"22542976";"topic";"consumer_wearable_vs_no_wearable";"2023-11-02 16:50:39";"2023-11-02 16:50:40";"2023-11-02 16:50:40";"";"2023-11-02 16:50:40";"";"1";"0";"0"
"";"30339063";"22576743";"effect_size_1";"0.8";"2023-11-02 16:50:39";"2023-11-02 16:50:40";"2023-11-02 16:50:40";"";"2023-11-02 16:50:40";"";"1";"3";"0"
"";"30339063";"22576744";"effect_size_2";"0.5";"2023-11-02 16:50:39";"2023-11-02 16:50:40";"2023-11-02 16:50:40";"";"2023-11-02 16:50:40";"";"1";"4";"0"
"";"30358982";"22542976";"topic";"consumer_wearable_vs_no_wearable";"2023-11-03 15:26:03";"2023-11-03 15:26:03";"2023-11-03 15:26:03";"";"2023-11-03 15:26:03";"";"1";"0";"0"
"";"30358982";"22576743";"effect_size_1";"0.2";"2023-11-03 15:26:03";"2023-11-03 15:26:03";"2023-11-03 15:26:03";"";"2023-11-03 15:26:03";"";"1";"3";"0"
"";"30358982";"22576744";"effect_size_2";"0.5";"2023-11-03 15:26:03";"2023-11-03 15:26:03";"2023-11-03 15:26:03";"";"2023-11-03 15:26:03";"";"1";"4";"0"
"";"30359024";"22542976";"topic";"3D_video_vs_2D_video";"2023-11-03 15:31:48";"2023-11-03 15:31:49";"2023-11-03 15:31:49";"";"2023-11-03 15:31:49";"";"1";"0";"0"
"";"30359024";"22576743";"effect_size_1";"-0.8";"2023-11-03 15:31:48";"2023-11-03 15:31:49";"2023-11-03 15:31:49";"";"2023-11-03 15:31:49";"";"1";"3";"0"
"";"30359024";"22576744";"effect_size_2";"0.2";"2023-11-03 15:31:48";"2023-11-03 15:31:49";"2023-11-03 15:31:49";"";"2023-11-03 15:31:49";"";"1";"4";"0"
"";"30359024";"22583679";"note_intro";"1";"2023-11-03 15:31:48";"2023-11-03 15:32:00";"2023-11-03 14:31:50";"2558";"2023-11-03 14:31:50";"";"1";"7";"0"
"";"30359024";"22583680";"informed_consent";"1";"2023-11-03 15:31:48";"2023-11-03 15:32:00";"2023-11-03 14:31:50";"2558";"2023-11-03 14:31:53";"5841";"1";"8";"0"
"";"30359046";"22542976";"topic";"science_kit_vs_traditional_program";"2023-11-03 15:33:58";"2023-11-03 15:33:58";"2023-11-03 15:33:58";"";"2023-11-03 15:33:58";"";"1";"0";"0"
"";"30359046";"22576743";"effect_size_1";"0.2";"2023-11-03 15:33:58";"2023-11-03 15:33:58";"2023-11-03 15:33:58";"";"2023-11-03 15:33:58";"";"1";"3";"0"
"";"30359046";"22576744";"effect_size_2";"-0.5";"2023-11-03 15:33:58";"2023-11-03 15:33:58";"2023-11-03 15:33:58";"";"2023-11-03 15:33:58";"";"1";"4";"0"
"";"30359046";"22583679";"note_intro";"1";"2023-11-03 15:33:58";"2023-11-03 15:34:08";"2023-11-03 14:33:59";"2180";"2023-11-03 14:33:59";"";"1";"7";"0"
"";"30359046";"22583680";"informed_consent";"1";"2023-11-03 15:33:58";"2023-11-03 15:34:08";"2023-11-03 14:33:59";"2180";"2023-11-03 14:34:04";"6712";"1";"8";"0"
"";"30359157";"22542976";"topic";"ai_feedback_vs_teacher_feedback";"2023-11-03 15:46:27";"2023-11-03 15:46:28";"2023-11-03 15:46:28";"";"2023-11-03 15:46:28";"";"1";"0";"0"
"";"30359157";"22576743";"effect_size_1";"0.2";"2023-11-03 15:46:27";"2023-11-03 15:46:28";"2023-11-03 15:46:28";"";"2023-11-03 15:46:28";"";"1";"3";"0"
"";"30359157";"22576744";"effect_size_2";"0.8";"2023-11-03 15:46:27";"2023-11-03 15:46:28";"2023-11-03 15:46:28";"";"2023-11-03 15:46:28";"";"1";"4";"0"
"";"30359157";"22583679";"note_intro";"1";"2023-11-03 15:46:27";"2023-11-03 15:46:33";"2023-11-03 14:46:29";"2085";"2023-11-03 14:46:29";"";"1";"7";"0"
"";"30359157";"22583680";"informed_consent";"0";"2023-11-03 15:46:27";"2023-11-03 15:46:33";"2023-11-03 14:46:29";"2085";"2023-11-03 14:46:29";"";"1";"8";"0"
"";"30359162";"22542976";"topic";"science_kit_vs_traditional_program";"2023-11-03 15:46:50";"2023-11-03 15:46:51";"2023-11-03 15:46:51";"";"2023-11-03 15:46:51";"";"1";"0";"0"
"";"30359162";"22576743";"effect_size_1";"0.8";"2023-11-03 15:46:50";"2023-11-03 15:46:51";"2023-11-03 15:46:51";"";"2023-11-03 15:46:51";"";"1";"3";"0"
"";"30359162";"22576744";"effect_size_2";"-0.8";"2023-11-03 15:46:50";"2023-11-03 15:46:51";"2023-11-03 15:46:51";"";"2023-11-03 15:46:51";"";"1";"4";"0"
"";"30359162";"22583679";"note_intro";"1";"2023-11-03 15:46:50";"2023-11-03 15:47:00";"2023-11-03 14:46:52";"2267";"2023-11-03 14:46:52";"";"1";"7";"0"
"";"30359162";"22583680";"informed_consent";"1";"2023-11-03 15:46:50";"2023-11-03 15:47:00";"2023-11-03 14:46:52";"2267";"2023-11-03 14:46:57";"7198";"1";"8";"0"
"";"30359165";"22542976";"topic";"consumer_wearable_vs_no_wearable";"2023-11-03 15:47:11";"2023-11-03 15:47:12";"2023-11-03 15:47:12";"";"2023-11-03 15:47:12";"";"1";"0";"0"
"";"30359165";"22576743";"effect_size_1";"-0.8";"2023-11-03 15:47:11";"2023-11-03 15:47:12";"2023-11-03 15:47:12";"";"2023-11-03 15:47:12";"";"1";"3";"0"
"";"30359165";"22576744";"effect_size_2";"-0.5";"2023-11-03 15:47:11";"2023-11-03 15:47:12";"2023-11-03 15:47:12";"";"2023-11-03 15:47:12";"";"1";"4";"0"
